"Ecosystem service
(n articles, n references)",Ecosystem service category (MEA 2005),"Discussed in peer-reviewed literature? (n articles, n references)","Discussed in newspaper articles? (n articles, n references)",Number of references in the Before articles,Number of references in the After articles,Sample text from academic literature (italics used to indicate most relevant text),"Sample text from newspaper article (Before followed by After, if both available; dates provided) (italics used to indicate most relevant text)",
"Canopy cover (3, 3)",Regulating,No,"Yes (3, 3)",0,3,NA,"""But in its wake has come a new public enthusiasm for trees – and plans for a far leafier landscape."" - Oct. 14 1988 (The Gazette)",
"Carbon storage (2, 5)",Regulating,"Yes (1, 2)","Yes (1, 3)",0,3,"""On average, native UK oak takes 300 years to reach maximum carbon sequestration rates (Matthews, 1989), hence, storm events causing immediate oak mortality and inhibiting optimal carbon storage are of major concern"" - Halstead et al. 2024","""Trees can help offset the menacing greenhouse effect by exchanging oxygen for carbon dioxide."" - Stephen Lacey, Nov. 24 1990 (The Daily Telegraph)",
"Pollution mediation (1, 1)",Regulating,No,"Yes (1, 1)",0,1,NA,"""Garden owners clearly have an important job to set their minds to this autumn, especially as most of us live on the outskirts of towns where trees can do most good in combatting pollution and encouraging birds to nest."" Stephen Lacey, Nov. 24 1990 (The Daily Telegraph)",
"Biodiversity (33, 86)","Supporting, Regulating","Yes (14, 53)","Yes (5, 8)",3,5,"""Consequently, those interested in nature conservation generally viewed the storm as beneficial as it introduced a greater variety of habitats into many woodlands, which provided opportunities for a wide range of species (e.g. gaps of varying size and standing/fallen deadwood). One ecologist, who had spent a significant amount of time assessing the effects of the storm, thought that greater ecological damage was caused by subsequent forest operations rather than by the storm itself (Whitbread, 1991a)."" - Harmer 2012","""Oak trees support a good variety of insects which attract birds and so create a desirable habitat."" - Mike Chittenden, Mar. 24 1990 (Herald Express)",
"Wildlife habitat (13, 31)",,"Yes (10, 27)","Yes (3, 4)",0,4,"""Of course, this has to be balanced against the loss of many mature trees and their associated habitats – for example several moribund beech that were uprooted on Ashford Hill were of invertebrate interest."" - Mountford and Ball 2011","""Twenty trees are in the lakes. Quite attractive. Good for kingfishers."" - John Cunningham, Oct. 15 1988 (The Guardian)",
"          Rare species (14, 25)",,"Yes (7, 14)","Yes (7, 11) ",2,9,"""There are rare trees that are known to grow in the area of storm damage, but were not in the records of species blown down. Many of these species are growing in exposed areas of Kew and Wakehurst and were subjected to the strong winds and survived, so they should not be overlooked as potential subjects for future planting."" - Cutler et al. 1991","""He has gone on to find some record rare oaks and many huge specimens not recorded before … "" - Alan Mitchell, Jan. 29 1983 (The Guardian)

""Mature trees and shrubs and rare specimens which are many generations old have been lost."" - Oct. 29 1987 (Leatherhead)",
"Tall trees (12, 28)",Intrinsic value,"Yes (4, 7)","Yes (8, 21)",13,8,"""Unfortunately the majority of the trees destroyed were mature and were, 
in some cases, over 100 feet high.""  - Hall 1987","""Maynard Greville acquired a sudden and intense addiction to big trees just after the war. He surveyed his Essex estate when it was returned to him after its service years as an aerodrome and found that what had been land very well endowed with enormous trees in hedgerows and copses was now bare of any noteworthy stature. His immediate reactions were, he said, that however much he could now plant trees, he would never possess the huge and venerable specimens that he admired. “No use moaning about it here. I’ll get on my bike and go look at other peoples’ trees.” - Alan Mitchell, Jan. 29 1983 (The Guardian)

""An ancient lime and a chequer, both considered to be the biggest of their kind in the country, are among 186 trees lost and damaged at Scotney Castle garden, near Tunbridge Wells, Kent."" - Robert Bedlow, Nov. 13 1987 (Daily Telegraph)",
"Street trees (3, 3)",Intrinsic value,No,"Yes (3, 3)",1,2,NA,"""Second, the balance of trees in the streets will be improved with new species chosen to fit the scale of the street and give contrasting leaves, flowers, fruit and bark, as well as fitting in with modern needs such as bus routes and sight lines."" - Simon Mares, Dec. 21 1985 (Evening Post)

""As a result it has devised a programme of planting and re-planting which could eventually mean avenues of trees in every street."" - Oct. 14 1988 (The Gazette)",
"Veteran or ancient trees (23, 65)",Intrinsic value (see note below),"Yes (12, 25)","Yes (11, 40)",7,33,"""The appearance of birch in such great numbers has not been welcomed by the public or the National Trust - a young birch wood does not have the same attraction and amenity value as ancient beech/oak woodland.""  - Kirby & Buckley eds. 1993","""These trees must have been growing there for at least sixty years, so does man have the right to remove them! I think not."" A.E. Sperris, Oct. 7 1983 (Lichfield Mercury)

""Then the worst storm for more than 200 years hit West London with winds gusting up to 100 mph and trees which had stood the test of time being uprooted in their thousands."" - Oct. 14 1988 (The Gazette)",
,,,,,,,,
"Ancient trees provide a variety of ecosystem services, alongside their intrinsic value (see Lindenmayer and Laurence 2017, etc.). In the context of this review, veteran and ancient trees are defined as the ecosystem service itself, which has intrinsic value to people, rather than being the provider of other ecosystem services. These benefits are already captured in the other ecosystem services appearing in this table (and were coded as such).",,,,,,,,
